question,answer,intent
What is the procedure for: 47.	can legal services institutions under the act provide assistance in accessing justice for victims of sexual harassment or assault??,"Yes. Legal Services Institutions are duty bound to provide legal aid to such categories of persons as well as per Section 12(c) of the Legal Services Authorities Act, 1987. Section 40 of the Protection of Children from Sexual Offences Act, 2012 also provides for the same. NALSA has also come up with a Scheme titled “Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes – 2018”, which has been used as a template by other States to formulate a Scheme for victim compensation. Victims of sexual crimes are paid compensation in terms of the prevailing schemes for victim compensation and the SLSAs are the disbursement authority for the compensation.",general_legal_service
"How do I go about 46.	can legal services institutions under the legal services authorities act, 1987, assist with matters related to family disputes and domestic violence??","Yes, even in matrimonial cases, legal aid is provided.",general_legal_service
28. Can persons avail of legal aid services at the time of production and remand hearings in magistrate courts?,"Yes, persons can avail of free legal aid services at the time of production and remand hearing in Magistrate Courts including the courts of Executive Magistrates.",legal_aid_info
How do I go about 82.	what is mediation??,"Mediation is a non-binding negotiation process in which a neutral third person facilitates the parties to the dispute in arriving at a mutually acceptable settlement. The process is informal where the outcome of the dispute is controlled by the parties themselves. The entire process is confidential. Civil cases, matrimonial and family disputes are best suited for mediation.",mediation
Can a woman get free legal aid?,"Yes, all women are entitled to free legal aid regardless of income.",legal_aid_for_women
Legal guidance needed: 27. Can persons called for questioning at the Police Station or persons arrested by the Police avail free legal aid?,"Yes, as per NALSA’s Early Access to Justice at Pre-Arrest, Arrest and Remand framework, persons called for questioning i.e. suspects and persons arrested by the police can also avail free legal aid.",legal_aid_info
What is Section 498A?,It protects women from cruelty by husband or relatives under Indian Penal Code.,section_498a_info
What is the procedure for: 21. are senior citizens eligible for free legal aid??,"Senior citizens’ eligibility for free legal aid depends on the rules framed by the respective State Governments in this regard. In Delhi for example, senior citizens are eligible for free legal aid subject to prescribed ceiling of annual income for senior citizens i.e. Rs. 4 lacs per annum. One may look into the specific State regulations on legal services to check eligibility.",legal_aid_info
What is the procedure for: 17. whether a financially independent woman is eligible for free legal aid??,"Yes, a woman is entitled for free legal aid irrespective of her income or financial status. A woman is eligible to apply for free legal aid by virtue of Section 12(c) of the Legal Services Authorities Act, 1987.",legal_aid_info
How do I go about 56.	what is the procedure adopted after a person submits an application for legal aid with the legal services institutions??,"Legal aid is provided to the entitled persons through legal services authorities existing from the National to Taluka levels including the NALSA, State Legal Services Authorities, District Legal Services Authorities, Taluka Legal Services Committees, Supreme Court Legal Services Committee and High Court Legal Services Committees. If, however, an application or request for legal aid is received by NALSA, NALSA forwards the same to the concerned Legal Services Institution. Once the application is submitted with the proper authority, it would be perused by the concerned Legal Services Institution as to what action is needed upon the same. The information about the next step on the application would then be sent to the parties concerned. The action taken on an application received would vary from providing counselling/advice to the parties, providing a lawyer to represent them in the court, etc.",legal_aid_info
