section_number,section_title,description,example_use_cases,punishment
334,"Voluntarily causing hurt on provocation","This section provides a lesser punishment for voluntarily causing hurt on grave and sudden provocation, if the offender did not intend to cause grievous hurt.","In a sudden argument, one person slaps another after being severely insulted.","Imprisonment up to 1 month, or fine up to Rs. 500, or both"
335,"Voluntarily causing grievous hurt on provocation","This section provides a lesser punishment for voluntarily causing grievous hurt on grave and sudden provocation.","In a fight sparked by a sudden and grave provocation, a person hits another with a stick, causing a fracture.","Imprisonment up to 4 years, or fine up to Rs. 2000, or both"
336,"Act endangering life or personal safety of others","This section punishes doing any act so rashly or negligently as to endanger human life or the personal safety of others.","Recklessly firing a gun in a crowded area; swinging a weapon wildly in a public place.","Imprisonment up to 3 months, or fine up to Rs. 250, or both"
337,"Causing hurt by act endangering life or personal safety of others","This section punishes causing hurt to any person by doing an act so rashly or negligently as to endanger human life or personal safety.","Rash driving that results in a minor injury to a pedestrian.","Imprisonment up to 6 months, or fine up to Rs. 500, or both"
338,"Causing grievous hurt by act endangering life or personal safety of others","This section punishes causing grievous hurt to any person by doing an act so rashly or negligently as to endanger human life or personal safety.","Rash driving that results in a pedestrian suffering a fractured skull.","Imprisonment up to 2 years, or fine up to Rs. 1000, or both"
339,"Wrongful restraint","This section defines 'Wrongful Restraint'. It is voluntarily obstructing a person so as to prevent that person from proceeding in any direction in which that person has a right to proceed.","Blocking someone's path and not letting them pass; locking someone in a room.","N/A (Interpretive - Element for S.341)"
340,"Wrongful confinement","This section defines 'Wrongful Confinement'. It is a form of wrongful restraint where a person is prevented from proceeding beyond certain circumscribed limits. It means keeping someone within limits they are not entitled to leave.","Locking a person in a closet; tying someone to a chair; preventing a person from leaving a house.","N/A (Interpretive - Element for S.342)"
341,"Punishment for wrongful restraint","This section provides the punishment for the offence of wrongful restraint, as defined in S.339.","A person blocks another on the street and refuses to let them go forward.","Simple imprisonment up to 1 month, or fine up to Rs. 500, or both"
342,"Punishment for wrongful confinement","This section provides the punishment for the offence of wrongful confinement, as defined in S.340.","A teacher locks a misbehaving student in a classroom after school hours as punishment.","Imprisonment up to 1 year, or fine up to Rs. 1000, or both"
343,"Wrongful confinement for three or more days","This section provides enhanced punishment for wrongful confinement that lasts for three days or more.","Kidnapping someone and holding them in a basement for a week.","Imprisonment up to 2 years, or fine, or both"
344,"Wrongful confinement for ten or more days","This section provides enhanced punishment for wrongful confinement that lasts for ten days or more.","Holding a person captive for two weeks.","Imprisonment up to 3 years, and fine"
345,"Wrongful confinement of person for whose liberation writ has been issued","This section provides enhanced punishment for wrongfully confining a person, knowing that a writ (like a Habeas Corpus) has been issued for their liberation.","Continuing to hold a person captive even after a court has ordered their release.","Imprisonment up to 2 years in addition to the punishment under S.342"
